web_date,type,desc_title,proposal_id,proposal_link,period,proposal_filename
28.09.1999,BRA,Bundesrechnungsabschluß für das Jahr 1998,III-205 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/III/III_00205/index.shtml,XX,XX_III205dB
03.09.1999,RV,"Verfassungsgerichtshofgesetz, Verwaltungsgerichtshofgesetz u.a., Änderung",576 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/I/I_00576/index.shtml,XX,XX_576dB
03.09.1999,RV,Kabel- und Satelliten-Rundfunkgesetz,500 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/I/I_00500/index.shtml,XX,XX_500dB
17.08.1999,BUA,"Lebensmittelgesetz 1975, Änderung",2081 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02081/index.shtml,XX,XX_2081dB
17.08.1999,A,"Regionalradiogesetz, Änderung",1162/A,https://www.parlament.gv.at/PAKT/VHG/XX/A/A_01162/index.shtml,XX,XX_1162A
13.08.1999,BUA,Bundesverfasungsgesetz für ein atomfreies Österreich,2026 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02026/index.shtml,XX,XX_2026dB
13.08.1999,BUA,"Bundesverfassungsgesetzes, mit dem das Bundes-Verfassungsgesetz geändert wird",1947 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01947/index.shtml,XX,XX_1947dB
30.07.1999,BUA,Übernahmegesetz,2067 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02067/index.shtml,XX,XX_2067dB
30.07.1999,BUA,Telekommunikationsgesetz,2064 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02064/index.shtml,XX,XX_2064dB
30.07.1999,BUA,Bundesgesetzes über die Hemmung des Fristenablaufs durch den 31. Dezember 1999,2063 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02063/index.shtml,XX,XX_2063dB
30.07.1999,BUA,(Wohnrechtsnovelle 1999 - WRN 1999 ),2056 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/I/I_02056/index.shtml,XX,XX_2056dB
30.07.1999,RV,Signaturgesetz - SigG,1999 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01999/index.shtml,XX,XX_1999dB
30.07.1999,RV,Fernabsatz-Gesetz,1998 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01998/index.shtml,XX,XX_1998dB
30.07.1999,RV,"Bundesstraßengesetz 1971, Änderung",1969 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01969/index.shtml,XX,XX_1969dB
30.07.1999,RV,"Land- und forstwirtschaftliche Bundesschulgesetz, Änderung",1913 d.B.,https://www.parlament.gv.at/PAKT/VHG/XX/I/I_01913/index.shtml,XX,XX_1913dB
